date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986902215,1.000000001276948,46303774477
2024-12-25,1.0,0.9999999983985429,1.0000000014033315,46303774477
2024-12-26,1.0,0.9999999981437265,1.0000000017819801,46303774477
2024-12-27,1.0,0.999999997416343,1.000000002345484,46303774477
2024-12-28,1.0,0.9999999962458606,1.000000003332975,46303774477
2024-12-29,1.0,0.9999999945580083,1.000000004563261,46303774477
2024-12-30,1.0,0.9999999928101128,1.0000000064938797,46303774477
2024-12-31,1.0,0.9999999907986827,1.0000000082572256,46303774477
2025-01-01,1.0,0.9999999878913464,1.0000000101319904,46303774477
2025-01-02,1.0,0.9999999857603326,1.0000000128148832,46303774477
2025-01-03,1.0,0.9999999835990794,1.0000000153551463,46303774477
2025-01-04,1.0,0.9999999817191035,1.0000000178882995,46303774477
2025-01-05,1.0,0.9999999789323242,1.0000000205256934,46303774477
2025-01-06,1.0,0.9999999758877426,1.0000000233246544,46303774477
2025-01-07,1.0,0.999999973355518,1.0000000254798551,46303774477
2025-01-08,1.0,0.9999999701255639,1.0000000281683525,46303774477
2025-01-09,1.0,0.9999999669529536,1.0000000322716427,46303774477
2025-01-10,1.0,0.9999999642714417,1.0000000357411107,46303774477
2025-01-11,1.0,0.9999999608803151,1.0000000386324734,46303774477
2025-01-12,1.0,0.9999999566178366,1.0000000416084982,46303774477
2025-01-13,1.0,0.9999999525290432,1.0000000454397542,46303774477
2025-01-14,1.0,0.9999999486542137,1.0000000480823212,46303774477
2025-01-15,1.0,0.9999999448973442,1.0000000520348638,46303774477
2025-01-16,1.0,0.999999940226273,1.0000000544462113,46303774477
2025-01-17,1.0,0.9999999358892872,1.0000000587756648,46303774477
2025-01-18,1.0,0.9999999329006521,1.0000000623710514,46303774477
2025-01-19,1.0,0.999999928469687,1.000000065069423,46303774477
2025-01-20,1.0,0.9999999238006946,1.0000000676644172,46303774477
2025-03-04,1.9999996656589085,1.9999996656573849,1.9999996656603534,46303862950
2025-03-05,1.9999996656589087,1.9999996656574794,1.9999996656603243,46303862950
2025-03-06,1.9999996656589092,1.9999996656572867,1.9999996656604002,46303862950
2025-03-07,1.9999996656589094,1.9999996656571726,1.999999665660518,46303862950
2025-03-08,1.9999996656589096,1.999999665656805,1.9999996656607326,46303862950
2025-03-09,1.99999966565891,1.9999995664749346,1.9999996656608001,46303862950
2025-03-10,1.9999996656589103,1.9999711870048116,1.9999996656610504,46303862950
2025-03-11,1.9999996656589105,1.9999367288243945,2.00000020306876,46303862950
2025-03-12,1.9999996656589107,1.9998682868796898,2.0000350084038976,46303862950
2025-03-13,1.9999996656589112,1.9998195989780871,2.0000750812780224,46303862950
2025-03-14,1.9999996656589114,1.9997650996502145,2.000118598744603,46303862950
2025-03-15,1.9999996656589116,1.999692693130146,2.000152864930443,46303862950
2025-03-16,1.9999996656589119,1.9996170834910696,2.0002581841113565,46303862950
2025-03-17,1.9999996656589123,1.9995164098784721,2.000347409319904,46303862950
2025-03-18,1.9999996656589125,1.9993799151223195,2.000435808832934,46303862950
2025-03-19,1.9999996656589127,1.9992627661254894,2.000553453974838,46303862950
2025-03-20,1.9999996656589132,1.9991280533701623,2.0006362246021103,46303862950
2025-03-21,1.9999996656589134,1.9989410967969452,2.000770310489995,46303862950
2025-03-22,1.9999996656589136,1.9988151626969075,2.0009104838235747,46303862950
2025-03-23,1.9999996656589138,1.998679524401773,2.000986414464671,46303862950
2025-03-24,1.9999996656589143,1.9984844573146459,2.001180013261934,46303862950
2025-03-25,1.9999996656589145,1.9983281602708283,2.0013182810379253,46303862950
2025-03-26,1.9999996656589147,1.9981410802027535,2.00143219867441,46303862950
2025-03-27,1.999999665658915,1.9979955105688851,2.0015579846928455,46303862950
2025-03-28,1.9999996656589154,1.9978461153318452,2.0017314038034817,46303862950
2025-03-29,1.9999996656589156,1.9977434345034832,2.0018380771524553,46303862950
2025-03-30,1.9999996656589158,1.997545740675701,2.0020041210511095,46303862950
2025-03-31,1.9999996656589163,1.9973882540415029,2.0021355147295976,46303862950
2025-03-04,5.434594712288739,1.23178513630445,9.627382169905992,46303877432
2025-03-05,4.865590756422694,1.1180909490795798,8.983566781068017,46303877432
2025-03-06,4.296586800556636,-0.04018295169912018,8.566653587722367,46303877432
2025-03-07,3.727582844690591,-0.5529883948441011,7.893708053629297,46303877432
2025-03-08,3.1585788888245467,-0.7718254424812615,7.089246956862434,46303877432
2025-03-09,2.5895749329585023,-1.3884982465108906,6.51742278865493,46303877432
2025-03-10,2.020570977092458,-2.2104143465822985,6.141656894414742,46303877432
2025-03-11,1.4515670212264133,-2.710963412125216,5.492231102572364,46303877432
2025-03-12,0.8825630653603618,-3.127729133353353,5.079989102383443,46303877432
2025-03-13,0.3135591094943173,-3.7232306311957815,4.462291122809678,46303877432
2025-03-14,-0.25544484637172715,-4.589694828389204,3.9939931140337284,46303877432
2025-03-15,-0.8244488022377716,-4.8349195175214765,2.865619454304432,46303877432
2025-03-16,-1.393452758103816,-5.769784151885736,2.6354519846254068,46303877432
2025-03-17,-1.9624567139698605,-6.099917760601293,2.011164377957779,46303877432
2025-03-18,-2.531460669835919,-6.796173045704664,1.83397201243288,46303877432
2025-03-19,-3.1004646257019637,-7.238659971971704,0.6238660228504532,46303877432
2025-03-20,-3.669468581568008,-7.572410586582827,0.4132252987146848,46303877432
2025-03-21,-4.238472537434053,-8.192863608323723,0.018546313464044187,46303877432
2025-03-22,-4.807476493300097,-8.995418043442465,-0.9488340441809445,46303877432
